figure skater,フィギュアスケーター
inspire,~を感激させる、~を奮い立たせる
event,出来事
ice skating,アイススケート
support,~を支援する、支える
able,〔be able to ~で〕~することができる
supporter,支援者
communicate,伝え合う、コミュニケーションをとる
spoke,speak の過去形
gesture,身振り
skill,技量、腕前
anyway,それでもやはり
take away ~,~を奪う
because of ~,~の理由[おかげ]で
do one's best,全力を尽くす
record,記録
challenge,~に挑む、(人)に申し込む
weakness,弱点、弱さ
audience,観客
side,(の)側
be on one's side,~の味方である
ask ~ to ...,~に…するよう頼む
all of ~,~の全て、みんな
above all,何よりも
everything I can,できること全て
word,語、単語、言葉、発言
scared,おびえた、怖がって
rink,アイススケート場、リンク
receive,~を受け取る
continue,~を続ける
thankful,感謝している
speak,(~を)話す
opinion,意見、考え
somehow,どうにかして
became,become の過去形
couldn't,could not の短縮形
competition,競技会
limit,限界
above,~の上に、~よりむしろ
succeed,~に成功する、うまくいく
barrier-free,バリアフリーの
braille,(ブライユ式)点字(法)
restroom,トイレ
large,大きい、広い
move,動く、移動する
American,アメリカ(人)の
audio,音声の
sign language,手話
pictogram,ピクトグラム
ramp,スロープ
service,サービス
price,価格、値段
virtual,仮想の
lead,~を導く
online,オンラインの[で]
close,接近して、すぐ近くで
daytime,昼間[日中](の)
euro,ユーロ〔欧州連合(EU)の通貨単位〕
liberty,自由
review,レビューを書く
fantastic,すばらしい
explanation,説明
up close,近くで[に]
Sweden,スウェーデン
