young,若い
until,~まで(ずっと)
sit,座る
comfortable,ゆったりとした、快適な、心地よい
while,しばらくの間
decide to ~,~することに決める
sit down,座る
~ so that ...,~、それで…
nothing,何も~ない
thought,think の過去形、過去分詞
scene,大騒ぎ
divide,~を分ける
deal,〔deal with ~で〕~と関わりをもつ
quickly,急いで、速く
area,エリア、区域
plane,飛行機
horror,恐ろしさ、悲惨さ
mean,~を意味する
cause a scene,騒ぎを起こす
put away ~,~をしまう
felt,feel の過去形、過去分詞
completely,完全に
forgot,forget の過去形、過去分詞
without,~なしに
be wrong about ~,~を考え違いしている
share ~ with ...,~を…と分け合う
woman,女性
decide,~を決める
sat,sit の過去形、過去分詞
seat,席
man,男性
a bag of ~,1袋の~
after a while,しばらくすると
nerve,ずうずうしさ
cause,~を引き起こす
rude,失礼な
gave,give の過去形
anymore,これ以上、もはや
put,put の過去形、過去分詞
finally,やっと、ついに
into,~の中へ[に]
untouched,手をつけていない
each time ~,~するごとに
in half,半分に
to one's horror,ぞっとしたことには
ashamed,恥ずかしく思う
wrong,間違った
share,~を分ける
apologize,謝る
menu,メニュー、献立表
garden,庭、菜園、花壇
classic,定番の、典型的な
fresh,新しい、新鮮な
grilled,焼かれた、あぶった
melon,メロン
lime,ライム
strawberry,イチゴ
black tea,紅茶
shall,〔Shall I ~?で〕~し(てあげ)ましょうか。
certainly,もちろん
Shall I ~?,~し(てあげ)ましょうか。
Would you like ~?,~はいかがですか。
Certainly.,はい、かしこまりました。
Anything else?,他に何かありますか。
That's all.,それだけです。
yogurt,ヨーグルト
salad,サラダ
pancake,パンケーキ
French toast,フレンチトースト
bacon,ベーコン
juice,ジュース
jasmine,ジャスミン
smoothie,スムージー
server,給仕をする人
Yes please.,はい、お願いします。
for now,今のところ
Finland,フィンランド
girl,女の子、少女
boy,男の子、少年
ice hockey,アイスホッケー
São Paulo,サンパウロ〔ブラジルの都市〕
great-grandparent,曽祖父母
Japanese-Brazilian,日系ブラジル人
ago,~前に
Tampere,タンペレ〔フィンランドの都市〕
country,国
Brazilian,ブラジル人
among,~に含まれて、~の中に
~ if you want.,もしあなたがそうしたいなら~。
