perform,~を上演する
crazy,どうかした、ばかげた
than,~よりも
script,脚本、台本
friendship,友情
come up with ~,~を思いつく
castle,城
better,〔good の比較級〕よりよい、より適した
international,国際的な
musical,ミュージカル
original,独創的な、独自の
theme,主題、テーマ
play,劇、芝居
Jonathan,ジョナサン〔人物の名〕
spaceship,宇宙船
teamwork,チームワーク
take place,起こる、行われる
question,質問、問い
android,アンドロイド
normal,標準の、ふつうの
most,〔最上級をつくる〕最も
answer,答え
space,宇宙
rehearse,~のリハーサルをする、~の下稽古をする
blow,~を飛ばす
break,小休止、休憩
anybody,誰でも
hey,おい、ちょっと
blow one's lines,せりふを忘れる
take a break,ひと休みする
calm down,落ち着く
blew,blow の過去形
overworked,働きすぎの
acting,演技
calm,静まる、落ち着く
line,せりふ
What did you say?,何だって。
