lion,ライオン
back,背中
caught,catch の過去形
jungle,ジャングル
may,~してよい
climb up,よじ登る
hunter,猟師
heard,hear の過去形
chew,かむ
away,あちらへ、向こうへ
kept,keep の過去形
chew on ~,~をかむ
keep one's promise,約束を守る
Canterbury,カンタベリー〔イギリスの都市〕
topic,話題、トピック
anyone,誰でも
school lunch,学校給食
mouse,ネズミ
catch,~を捕まえる
someday,いつの日か
promise,約束する、約束
one day,ある日
look delicious,おいしそうだ
roar,ほえる
cry,鳴き声
got,get の過去形
keep,~を守る
true,真実の、本当の
get away,逃げ出す
open,開いた、公開の
good friends,よい友達、親友
came,come の過去形
example,例
confusing,ややこしい、混乱させる
learn,(~を)習う、(~を)学ぶ
meaning,意味
last year,昨年
this way,こういうふうに
clothes,衣服
shirt,シャツ
scarf,マフラー、スカーフ
easy,簡単な、楽な
~ and so on,~など
be different from ~,~と違っている
difficult,難しい、困難な
count,(~を)数える、計算する
another,別の、他の
phrase,言い回し、表現
strange,奇妙な、変な
for example,例えば
word,言葉
wear,~を着ている、~を身につけている
skirt,スカート
glove,手袋
think,(~と)思う、考える
