Mr.,〜さん、先生(男性)
Ms.,〜さん、先生(女性)
Mrs.,〜さん、先生(既婚女性)
want,〜が欲しい
read,〜を読む、読書する
town,町
finish,終える、終わる、終わり
hamburger,ハンバーガー
try,〜を試みる、〜を試す
climbing,登山
shop,(特定の商品を売る)店
violin,バイオリン
computer,コンピュータ
gym,(スポーツ)ジム、体育館
who,誰が、誰を(に)
lot,たくさんのこと
with,〜といっしょに
eye,目
call,呼ぶ、〜に電話をかける
me,私を、私に
blog,ブログ
wash,〜を洗う
carry,〜を運ぶ、持っていく
buy,〜を買う
some,いくつかの、多少の
thing,もの(物)、こと(事)
does,doの3人称単数形
work,働く、取り組む、仕事、勉強、作品
listen,聞く、耳を傾ける
rain,雨、雨が降る
of,〜の
mountain,山
blue,青い、青色の
make,〜をつくる
small,小さい、少ない、幼い
teach,〜を教える
catch,つかまえる、見つける
box,箱
enjoy,〜を楽しむ
store,(さまざまな種類の商品を売る)店
doll,人形
lunch,昼食、ランチ
museum,博物館、美術館
their,彼らの、彼女らの、それらの
snow,雪、雪が降る
kitchen,台所、キッチン
foot,足
summer,夏
call A B,AをBと呼ぶ
for breakfast,朝食に(で)
for lunch,昼食に(で)
for dinner,夕食に(で)
in the gym,体育館(ジム)で
listen to 〜,〜を聞く
a lot,たくさん、多くのもの
a lot of 〜,たくさんの〜
on foot,歩いて、徒歩で
