Sunday,日曜日
p.m.,午後
sunset,夕焼け、入り日
tour,ツアー
time,時間、時刻
from ~ to ...,~から…まで
at noon,正午に
min.,~分〔minute(s)の略〕
a.m.,午前
Chinatown,中華街
noon,正午
place,場所
after that,その後
miss,~を逃す、~を見落とす
Don't miss it.,逃さないでください。
tomato,トマト
Italy,イタリア
chicken,とり肉
Vietnam,ベトナム
India,インド
which,どちら、どれ
please,どうか、どうぞ
yen,円〔日本の通貨単位(¥)〕
Can I have ~?,~をいただけますか。~をください。
Which would you like ~ or ...? — I'd like ~ please.,~と…のどちらがよろしいですか。— ~がほしいです。
How much ~?,~はいくらですか。
I'd,I would の短縮形
pie,パイ
piece,1つ、1切れ、1枚
ice cream,アイスクリーム
coconut,ココナッツ
tea,お茶、紅茶
How many ~?,いくつの~ですか。
in total,全体で
basil,バジル
pho,フォー〔ベトナムの麺料理〕
beef,牛肉
vegetable,野菜
vendor,売る人、売り手
would,will の過去形
thousand,1,000(の)
cherry,サクランボ
scoop,すくうこと、一すくいの量
total,合計、総額
