prepared,用意ができている、備えた
shelter,避難所
case,場合
disaster,災害
store,～を蓄える
extinguisher,消火器
in case of ~,～の場合には
local shelter,地域の避難所
circle the number,数字を丸で囲む
done,do の過去分詞
emergency,緊急事態
recommend,～をすすめる、～を推薦する
prepare,準備をする、備える
kit,道具一式
earthquake,地震
hasn't,has not の短縮形
we've,we have の短縮形
send ~ a link,～にリンクをおくる
several,いくつかの
between,～と…の間で
encourage,～を勇気づける、励ます
hit,hit の過去形
comfort,～を慰める、元気づける
safe,安全な
the Great East Japan Earthquake,東日本大震災
Taylor Anderson,テイラー・アンダーソン〔人名〕
ALT,外国語指導助手
all the time,常に
thanks to ~,～のおかげで
rode,ride の過去形
toward,～のほうへ、～に向かって
caught,catch の過去形・過去分詞
sudden,突然の、不意の
shortly,まもなく、すぐに
exchange,交流、やりとり
support,～を支援する、応援する
crisis,危機、難局、峠
bicycle,自転車
apartment,アパートの部屋
tsunami,津波
news,ニュース、知らせ
corner,コーナー
program,プログラム、計画、事業
ordinary,ふつうの、通常の
be caught in,～に巻き込まれる
bring ~ together,～を団結させる
keep on ~ing,～し続ける
no longer,もはや～ない
for oneself,自身のために
come to ~,～するようになる
