0001	give	与える
0002	eat	食べる
0003	think	考える
0004	fly	飛ぶ
0005	travel	旅行する
0006	sing	歌う
0007	cut	切る
0008	have	持っている
0009	go	行く
0010	stay	滞在する
0011	keep	保存する
0012	play	する（スポーツ・楽器を）
0013	make	作る・〜にする
0014	laugh	笑う
0015	smile	ほほえむ
0016	drink	飲む
0017	start	始める・始まる
0018	know	知っている
0019	like	好きだ
0020	work	働く・機能する・作用する
0021	speak	話す（言葉を発する）
0022	run	走る
0023	wait	待つ
0024	teach	教える
0025	stop	やめる・止まる
0026	help	手伝う・助ける
0027	turn	曲がる
0028	return	戻る
0029	buy	買う
0030	write	書く
0031	stand	立っている
0032	tell	伝える
0033	move	動く
0034	do	する（一般動詞）
0035	walk	歩く
0036	rain	雨が降る
0037	watch	見る（じっと見る）
0038	read	読む
0039	study	勉強する
0040	end	終わる
0041	talk	話す（おしゃべりする）
0042	show	見せる
0043	clean	掃除する・きれいな
0044	call	〜と呼ぶ・電話をかける
0045	begin	始める・始まる
0046	open	開ける
0047	close	閉める・近い
0048	look	見る（目を向ける）
0049	say	言う
0050	try	試す
0051	sleep	眠る
0052	finish	終える
0053	drive	運転する
0054	live	住んでいる
0055	see	見える・会う
0056	learn	学ぶ
0057	arrive	到着する
0058	love	大好きだ
0059	want	ほしい
0060	need	必要とする
0061	smell	〜のにおいがする
0062	cook	料理する
0063	leave	出発する
0064	paint	（絵を）描く・ペンキを塗る
0065	send	送る
0066	listen	聞く
0067	hear	聞こえる
0068	sit	座る
0069	fall	落ちる
0070	take	とる・持っていく
0071	bring	持ってくる
0072	wash	洗う
0073	snow	雪が降る
0074	meet	会う
0075	use	使う
0076	sound	〜のように聞こえる
0077	break	壊す
0078	enjoy	楽しむ
0079	practice	練習する
0080	come	来る
0081	ask	たずねる
0082	pass	渡す
0083	point	指さす・指摘する
0084	draw	（絵・図を）描く
0085	taste	〜の味がする
0086	feel	〜のように感じる
0087	become	〜になる
0088	swim	泳ぐ
0089	lend	貸す
0090	get	得る・〜になる
0091	temple	寺院
0092	shrine	神社
0093	palace	宮殿
0094	calligraphy	書道・カリグラフィー
0095	pray	祈る
0096	firework	花火
0097	hot spring	温泉
0098	chopsticks	箸
0099	fan	扇・扇子・ファン（支持者）
0100	celebrate	祝う
0101	flower	花
0102	sky	空
0103	mountain	山
0104	tree	木
0105	star	星・スター
0106	world	世界
0107	ice	氷
0108	village	村
0109	city	都市・市
0110	town	町・街
0111	station	駅
0112	line	線・（鉄道などの）〜線
0113	hotel	ホテル
