backpack,バックパック
unused,未使用の
abroad,外国に、海外に
overseas,外国に、海外に
supply,必需品
donate,～を寄付する
this way,このように
run a campaign,キャンペーンを主催する
school backpack,ランドセル
Afghanistan,アフガニスタン
so far,今まで、これまで
definitely,もちろん、確かに
send ~ overseas,～を海外へおくる
more than ~,～より多い
imagine,～を想像する
son,息子
ready,用意ができて
service,サービス、公的事業
connect,～を結びつける、つなぐ
illiterate,読み書きのできない
daughter,娘
air,空気、空中
globe,地球
border,国境
encourage ~ to …,～に…するよう促す
most of ~,～の大部分、ほとんど
be ready for ~,～の用意ができている
in the open air,屋外で
depend,頼る
survival,存続、生き残ること
Thailand,タイ
quite,かなり、相当
Asian,アジアの
sold,sell の過去分詞
surround,～を囲む
relationship,関係、結びつき
beyond,～をこえたところに
in fact,実際に、事実上
trade,貿易
Brazil,ブラジル
import,～を輸入する
coat,上着、コート
fact,現実、事実
exception,例外
daily,日常の
interdependent,相互に依存している
depend on,～に頼る
one-third of ~,～の3分の1
fried chicken,フライドチキン
