give,与える
eat,食べる
think,考える
fly,飛ぶ
travel,旅行する
sing,歌う
cut,切る
have,持っている
go,行く
stay,滞在する
keep,保存する
play,する（スポーツ・楽器を）
make,作る・〜にする
laugh,笑う
smile,ほほえむ
drink,飲む
start,始める・始まる
know,知っている
like,好きだ
work,働く・機能する・作用する
speak,話す（言葉を発する）
run,走る
wait,待つ
teach,教える
stop,やめる・止まる
help,手伝う・助ける
turn,曲がる
return,戻る
buy,買う
write,書く
stand,立っている
tell,伝える
move,動く
do,する（一般動詞）
walk,歩く
rain,雨が降る
watch,見る（じっと見る）
read,読む
study,勉強する
end,終わる
talk,話す（おしゃべりする）
show,見せる
clean,掃除する・きれいな
call,〜と呼ぶ・電話をかける
begin,始める・始まる
open,開ける
close,閉める・近い
look,見る（目を向ける）
say,言う
try,試す
sleep,眠る
finish,終える
drive,運転する
live,住んでいる
see,見える・会う
learn,学ぶ
arrive,到着する
love,大好きだ
want,ほしい
need,必要とする
smell,〜のにおいがする
cook,料理する
leave,出発する
paint,（絵を）描く・ペンキを塗る
send,送る
listen,聞く
hear,聞こえる
sit,座る
fall,落ちる
take,とる・持っていく
bring,持ってくる
wash,洗う
snow,雪が降る
meet,会う
use,使う
sound,〜のように聞こえる
break,壊す
enjoy,楽しむ
practice,練習する
come,来る
ask,たずねる
pass,渡す
point,指さす・指摘する
draw,（絵・図を）描く
taste,〜の味がする
feel,〜のように感じる
become,〜になる
swim,泳ぐ
lend,貸す
get,得る・〜になる
temple,寺院
shrine,神社
palace,宮殿
calligraphy,書道・カリグラフィー
pray,祈る
firework,花火
hot spring,温泉
chopsticks,箸
fan,扇・扇子・ファン（支持者）
celebrate,祝う
flower,花
sky,空
mountain,山
tree,木
star,星・スター
world,世界
ice,氷
village,村
city,都市・市
town,町・街
station,駅
line,線・（鉄道などの）〜線
hotel,ホテル
bookstore,本屋
restaurant,レストラン
supermarket,スーパーマーケット
office,会社・オフィス
hospital,病院
park,公園・駐車する
library,図書館
street,通り
shop,店
shopping,買い物
ticket,切符・チケット
comic,マンガ
doll,人形
bag,かばん・バッグ
camera,カメラ
letter,手紙
fishing,釣り
song,歌
house,家
floor,床・階
kitchen,台所
room,部屋
bath,浴室・風呂
pet,ペット
key,カギ
sofa,ソファ
bed,ベッド
corner,角（かど・すみ）
mirror,鏡
garden,庭
bench,ベンチ
radio,ラジオ
net,ネット・網
basket,かご
computer,コンピュータ
Internet,インターネット
robot,ロボット
e-mail,Eメール
phone,電話
message,メッセージ・伝言
time,時間
morning,朝
noon,正午
evening,夕方
night,夜
dream,夢
name,名前・名づける
birthday,誕生日
present,プレゼント・贈り物
party,パーティー
coin,コイン・硬貨
money,お金
center,中心・センター
front,前面・正面
game,試合・ゲーム
movie,映画
news,ニュース
paper,紙・新聞
story,物語・話
page,ページ
contest,コンテスト
event,できごと・イベント
music,音楽
concert,コンサート
band,バンド
program,番組・プログラム
dance,ダンス・踊り
group,グループ・集団
team,チーム
number,数・番号
half,半分・30分
rule,ルール・規則・支配する
goal,ゴール・目標
fun,楽しみ
future,将来・未来
moment,瞬間
change,変化
LINE,LINE（ライン）
SNS,Social Networking Serviceの略
Wi-Fi,Wi-Fi（ワイファイ）
smartphone,スマートフォン
tweet,ツイートする（Twitterでつぶやく）
post,投稿する
flu,インフルエンザ
hurricane,ハリケーン
vocabulary,語彙
grammar,文法
