I,私は、私が
she,彼女は、彼女が
am,(主語がI)〜です、ある、いる
a,1つ、1人、1匹(子音の前)
busy,忙しい、にぎやかな
teacher,先生、教師
tennis,テニス
music,音楽
and,〜と〜、そして
my,私の
mother,母、お母さん
car,車、自動車
library,図書館、図書室
nice,すてきな、親切な
girl,女の子、少女
umbrella,傘、雨傘
home,家、家庭、故郷、中心
your,あなたの、あなたたちの
you,あなたは(が)、あなたたちは(が)
we,私たちは(が)
is,(主語がYou以外の単数)〜です、ある、いる
high,高い
junior,下位の、下級の
fan,(有名人・チームなどの)ファン
soccer,サッカー
school,学校、授業
this,これ、こちらは、ここ
our,私たちの
brother,兄弟、兄、弟
bike,自転車
house,家
old,古い、〜歳の、年上の
eraser,消しゴム
picture,絵、写真
English,英語
the,その(子音の前[ザ]、母音の前[ズィ])
he,彼は、彼が
they,彼らは、彼女らは、それらは
are,(主語がYou・複数)〜です、ある、いる
tall,高い、背の高い
student,生徒、学生
player,選手、プレーヤー
baseball,野球
from,〜から、〜出身
that,あれ、あちらは、あの
father,父、お父さん
sister,姉妹、姉、妹
textbook,教科書、テキスト
an,1つ、1人、1匹(母音の前)
doctor,医者、医師
apple,リンゴ
science,理科、科学
Japan,日本
beautiful,美しい、きれいな
friend,友だち、友人
man,男の人、男性
camera,カメラ
fish,魚、魚類
leaf,葉
good,よい、上手な、おいしい、元気な
basketball,バスケットボール
volleyball,バレーボール
it,それは(が)、それを(に)
very,とても、たいへん、非常に
singer,歌手
art,芸術、美術
child,子ども
woman,女の人、女性
math,数学
dish,皿、料理
city,都市、都会、市
guitar,ギター
dancing,ダンス、踊り
China,中国
yes,(肯定の問いに)はい、そうです
famous,有名な
horse,馬
club,クラブ、部
nurse,看護師
dictionary,辞書、辞典
knife,ナイフ
story,物語、話
not,〜(で)ない
swimming,水泳、泳ぐこと
cooking,料理、料理すること
at,〜に、〜で
no,(肯定の問いに)いいえ
cute,かわいい
newspaper,新聞
in,〜の中で、〜の中に
junior high school,中学校
high school,高等学校
be from,〜出身である
be good at 〜,〜が得意である
in the 〜 club,〜クラブ(部)に所属している
