delicious,おいしい
asleep,眠って
elementary,初歩の
junior,年下の
senior,年上の
serious,深刻な・本気の
helpful,役立つ
excellent,すばらしい（excel）
direct,直接の
fresh,新鮮な
major,主要な（メジャーな）
comfortable,快適な
normal,ふつうの
unique,独特の
rare,まれな
wild,野生の
terrible,ひどい
smart,賢い
own,自分自身の・所有する
public,公共の
necessary,必要な
sweet,甘い
total,全部の
clear,きれいな
rough,おおざっぱな
nervous,緊張している
honest,正直な
final,最後の
possible,可能な・可能性がある
impossible,不可能な
digital,デジタルの
common,共通の・ふつうの
rude,失礼な
thick,厚い
thin,薄い・やせた
online,オンラインの
giant,巨大な（巨人のような）
flat,平らな
independent,独立した
native,母国の
careful,注意深い
foolish,愚かな
pale,（顔などが）青白い
attractive,魅力的な
tough,丈夫な・骨の折れる
crowded,混み合った
perfect,完璧な
positive,積極的な・自信のある
intelligent,知能の高い
empty,空の
tiny,小さな
huge,巨大な
proud,誇りを持った
simple,簡単な・単純な
bright,明るい・頭がよい
primary,最初の・重要な
several,いくつかの
shy,恥ずかしがりやの
dead,死んでいる
equal,平等の
loud,（声・音が）大きい
electric,電気の
social,社会の
correct,正しい
wide,（幅の）広い
narrow,狭い
familiar,よく知っている・よく知られている
basic,基礎的な
individual,個別の
strict,厳しい
exact,正確な
whole,全体の
stupid,ばかな・愚かな
private,プライベートの
crazy,気が狂った・夢中である
main,主な
extra,余分な・必要以上の
fair,公平な
precious,貴重な
modern,現代の
sure,確かな・確信している
daily,毎日の・日常の
such,そのような
absent,欠席して
pure,純粋な・きれいな
sharp,鋭い
fantastic,すばらしい（空想的な）
polite,礼儀正しい・丁寧な
clever,賢い（クレバーな）
brave,勇敢な
age,年をとる・年齢・時代
aging society,高齢化社会
elderly,年配の
generation,世代
local,地元の
community,地域社会
barrier,障害
wheelchair,車いす
slope,坂・スロープ
design,デザイン
succeed,成功する
create,創造する
graduate,卒業する
dry,乾かす
fight,戦う
respect,尊敬する
pack,詰める
share,共有する・分ける
escape,逃げる
increase,増える
approach,近づく・接近する
shake,振る・握る
reply,返事をする
develop,発展させる・開発する
discuss,話し合う
advise,忠告する
press,押す（上から強く）
deliver,配達する
remind,思い出させる
relax,リラックスさせる
fix,固定する・修理する
kick,ける
spread,広がる・広げる
search,探す・捜索する
follow,追う
hunt,狩りをする
complete,完成させる
fit,合う
offer,提供する・申し出る
guess,推測する・思う
produce,生産する
satisfy,満足させる
measure,測定する
count,数える
select,選択する
burn,燃える・燃やす
translate,翻訳する
respond,答える
suggest,提案する・暗示する
assist,手伝う
retire,退職する
educate,教育する
examine,調べる・試験する
chase,追いかける
express,表現する
add,加える
allow,許す
prefer,好きだ
apply,申し込む
treat,扱う・治療する
seem,〜のように思われる
injure,負傷させる
attack,襲う・攻撃する
encourage,励ます・勧める
import,輸入する
export,輸出する
trade,貿易する
sweep,掃く
earn,稼ぐ
hide,隠す
cause,引き起こす
hurt,傷つける
belong,属する
surround,囲む
improve,向上させる・改善する
arrange,整える・取り決める
supply,与える・供給する
prove,証明する
remove,取り除く
remain,〜のままである
fill,満たす
lie,横になる・いる・ある
lay,置く・横にする
feed,食事（エサ）を与える
steal,盗む
greet,挨拶する
rent,賃借りする・賃貸しする
suffer,苦しむ
let,〜するのを許す・させる
manage,経営する・管理する
pollute,汚染する
fold,折りたたむ
compare,比べる・比較する
shout,叫ぶ
forgive,許す（許しを与える）
complain,不平をいう
connect,つなぐ
repair,修理する
bow,おじぎをする
mind,気にする
Olympic,オリンピック
traditional,伝統的な・従来の
various,様々な
postcard,（絵）はがき
almost,ほとんど（もう少しで）
perform,行う
mild,穏やかな
humidity,湿度
prefecture,県
manga,マンガ（日本の漫画）
