last,最後の、この前の、昨〜、先〜
rugby,ラグビー
year,(〜)年、〜歳、年齢
table,テーブル、食卓
minute,(時間の)分
fishing,魚釣り
then,そのとき、そのころ
did,doの過去形
big,大きい、重要な、成長した
become,〜になる、〜に似合う
cookie,クッキー
hand,手
for,〜のために、〜のための
driving,運転
week,週、1週間
yesterday,昨日(は)
station,駅、〜所
hour,1時間、60分
parent,親
noon,正午、真昼
give,〜を与える、あげる
shoes,靴
cook,〜を料理する
best,最もよい、最高の
ball,ボール、球
London,ロンドン
camping,キャンプ(すること)
month,月、ひと月、1か月
hope,〜を望む(願う)
America,アメリカ
ago,〜前に
restaurant,レストラン
afternoon,午後
see,会う、わかる、〜が見える
news,知らせ、便り、ニュース
laugh,笑う
long,長い
party,パーティー
in need,困っている
do one's best,最善を尽くす
have a good time,楽しい時間を過ごす
