festival,祭り
people,人々
rock,岩・（音楽の）ロック
diary,日記
dictionary,辞書
business,仕事・事業
meeting,会議・ミーティング
project,計画・プロジェクト
interview,面接・インタビュー
skill,技術（スキル）
department,部門・売り場
note,メモ
control,支配・制御・支配する・制御する
theater,劇場・映画館
gym,体育館
tournament,トーナメント
prize,賞
result,結果
health,健康
schedule,スケジュール
flight,飛行・便
passport,パスポート
address,住所
silence,静寂・沈黙
secret,秘密・秘訣
matter,事柄・問題
reason,理由
gift,贈り物・才能
quiz,クイズ・小テスト
sheet,1枚の紙・シーツ
copy,コピー・（本の）1冊
opinion,意見
presentation,プレゼンテーション・発表
purpose,目的
voice,声
ceremony,儀式（セレモニー）
joke,冗談
medicine,薬
promise,約束
shape,形
human,人間
gesture,ジェスチャー・身振り
tie,ネクタイ
cloth,布
date,日付・デート
rose,バラ
license,免許（証）
service,接客・対応
meal,食事
menu,メニュー
gas,ガス・ガソリン
tool,道具
system,システム・制度
medium,中間（サイズのM）
audience,聴衆・観客
fire,火・火事
oil,石油・油
trouble,心配・困難
style,スタイル・様式
dessert,デザート
roof,屋根
war,戦争
challenge,挑戦・難題
century,世紀
fridge,冷蔵庫
experience,経験
award,賞（アワード）
course,進路・コース
noise,騒音
factory,工場
hill,丘
view,眺め・見方
heaven,天国
lesson,レッスン
plan,計画
step,階段・足元
report,報告書
hole,穴
grass,草
field,野原・田畑・広場
novel,小説
purse,財布
hall,ホール・廊下
essay,エッセー・随筆
leaf,葉
castle,城
memory,記憶
circle,円
peace,平和
space,場所・宇宙
nuclear,核の
fuel,燃料
atomic,原子の
atmosphere,大気
acid rain,酸性雨
plastic,プラスチック
damage,損害・被害
protect,守る・保護する
preserve,保存する
care,世話
will,〜する（つもりだ）
can,〜できる・ありえる
must,〜しなければならない・〜にちがいない
may,〜してもよい・〜かもしれない
should,〜すべきだ
shall,（Shall we[I]〜?で）〜しましょうか?
could,〜できた・（Could you〜?で）〜してもらえませんか?
would,〜だろう
what,何
who,だれ
whose,だれの（もの）
why,なぜ
where,どこで［へ］
how,どのように
which,どちら
and,そして・そうすれば
or,または・さもないと
but,しかし
so,〜だから…・とても
when,svするとき・いつ
if sv,もしsvするならば
because sv,svするので
before sv,svする前に・〜の前に
after sv,svした後に・〜の後に
while sv,svする間
though[although]sv,svするけれども
till[until]sv,svするまで（ずっと）・〜まで（ずっと）
as soon as sv,svするとすぐに
about,〜について・およそ
without,〜なしで
through,〜を通して
over,〜の上に
under,〜の下に
since,〜以来
during,〜の間
near,〜の近くに
into,〜の中へ
between,（AとB）の間で
against,〜に対して・〜に反対して
behind,〜の後ろに
along,〜に沿って
across,〜を横切って
as,〜として・svするように
among,〜の間で
all,全部・すべての
some,いくつか・いくつかの
each,それぞれ・それぞれの
any,（肯定文で）どんな〜でも・（否定文で）まったく〜ない・（疑問文で）いくらかの
traffic,交通
environment,環境
climate,気候
temperature,温度
influence,影響
planet,惑星
nature,自然
land,土地
sight,視力・視界・景色
earthquake,地震
desert,砂漠
flood,洪水
nation,国家
government,政府
law,法律
population,人口
custom,習慣
manner,マナー（作法）・方法
religion,宗教
symbol,シンボル（象徴）
value,価値
quality,品質
average,平均
middle,中間（真ん中）
bottom,底
advantage,有利
energy,エネルギー
apartment,アパート・マンション
furniture,家具一式
instrument,楽器・道具
condition,条件・状態
experiment,実験
pain,痛み
treasure,宝物
breath,呼吸
distance,距離
sign,目印
scene,場面・場所
effort,努力
knowledge,知識
topic,話題
sense,感覚
agree,同意する
disagree,反対する
fat,脂肪・太った
impress,印象を与える
convenient,便利な
recommend,推薦する
excuse,許す
spicy,ピリッとした
sour,すっぱい
yummy,おいしい（子ども向け）
