surprised,驚いて
excited,ワクワクして
glad,うれしい
happy,幸せな・うれしい
free,自由な・暇な・無料の
tired,疲れた
many,たくさんの（数）
much,たくさんの（量）
few,（a fewで）少しの・2、3の
little,少ない・小さい
beautiful,美しい
big,大きい
large,大きい（サイズが）
small,小さい
afraid,怖がって
quiet,静かな
sick,気分が悪い
left,左の
right,右の・正しい
strange,奇妙な
interesting,おもしろい
interested,興味を持った
cute,かわいい
bad,悪い
good,よい・上手な
poor,貧しい・かわいそうな
rich,裕福な
new,新しい
young,若い
old,古い・年をとった
real,現実の・本当の
international,国際的な
special,特別の
safe,安全な
dangerous,危険な
soft,柔らかな
easy,簡単な
difficult,難しい
nice,すてきな
favorite,一番好きな
dark,暗い
light,明るい・軽い
heavy,重い
expensive,高価な
cheap,安い
every,どの〜も・毎〜
sad,悲しい
same,同じ
cool,涼しい・かっこいい
warm,暖かい
different,違った
long,長い
pretty,かわいい・きれいな
hungry,空腹の
thirsty,のどが渇いた
last,この前の・最後の
foreign,外国の
next,次の
no,1つも（まったく）〜ない
popular,人気のある
cold,冷たい・寒い
hot,熱い・暑い
busy,忙しい
fast,速い
slow,遅い
quick,すばやい
other,ほかの
another,もう1つの・別の
enough,十分な
ill,病気の
fine,晴れた・よい・元気な
shocked,衝撃を受けて
important,重要な
high,高い
low,低い・安い
true,真実の・本当の
full,いっぱいの
wrong,間違った
tall,（背が）高い
short,短い・背が低い
sorry,残念だ・気の毒で
wonderful,すばらしい
wet,ぬれた
angry,怒って
famous,有名な
deep,深い
dirty,汚い
boring,退屈な
strong,強い
great,すばらしい（偉大な）
horoscope,星座占い
fortune,運勢
Post-it,付箋
fried rice,チャーハン
housework,家事
child raising,子育て
nursery,保育園
stomachache,腹痛
headache,頭痛
fever,熱
soon,まもなく・すぐに
anytime,いつでも
anywhere,どこでも
anyway,とにかく
regularly,定期的に
nowadays,最近（今ごろは）
recently,最近（少し前から）
instead,代わりに
rather,むしろ・やや
therefore,したがって
else,そのほかに
ahead,前へ
hard,一生懸命に
hardly,ほとんど〜ない
scarcely,ほとんど〜ない（scarce）
unfortunately,不運にも
nearly,ほとんど
also,〜もまた
early,早く
late,遅く
very,とても
too,〜すぎる・〜もまた
so,とても・そんなに
already,すでに・もう
again,再び・また
fluently,流ちょうに
someday,いつか（未来の）
anymore,もはや
indeed,本当に
likely,ありそうな
suddenly,突然に
once,一度・かつて
twice,2度
maybe,ひょっとしたら
perhaps,たぶん
probably,たぶん・おそらく
sometime,いつか（ある時）
together,一緒に
always,いつも
o'clock,〜時
usually,ふつう・たいてい
up,上へ
down,下へ
outside,外に［で・へ］
inside,内側に・内部に
yesterday,昨日は
today,今日は
tonight,今晩は
tomorrow,明日は
here,ここで［に・へ］
there,そこで［に・へ］
only,〜だけ・たった
forward,前へ（look forward）
please,どうぞ
out,外で［に］
not,〜でない
alone,ひとりで
upstairs,上の階へ
abroad,海外へ［に］
overseas,海外へ［に］（海を越えて）
off,離れて（電源を切る）
away,離れて（遠くへ）
far,遠くに
somehow,なんとかして
somewhere,どこかで［に］
everywhere,どこでも（every+where）
gradually,徐々に
just,ちょうど
however,しかしながら
straight,まっすぐに
globally,世界的に
ever,今までに
never,決して〜ない
especially,とりわけ・特に
actually,実際は
still,まだ
often,しばしば
even,〜でさえ
aloud,声に出して
now,今
well,よく・上手に
yet,（疑問文で）もう・（否定文で）まだ
either,（否定文で）〜も（ない）
certainly,確かに
then,そのとき・そして・それならば
sometimes,ときどき
quite,かなり
back,後ろへ
home,家に
forever,永遠に
LED,発光ダイオードの照明
technique,技術
brain,脳
automatic,自動の
AI,人工知能
full-time,フルタイムの
part-time,アルバイトの
to-do list,やらないといけないことのリスト
gender,（社会的・文化的に見た）性別
laptop,ノートパソコン
