what,何、何の
seven,7、7人、7つ、7匹
thirty,30、30人、30匹
when,いつ、〜する時に
cloudy,曇った、雲に覆われた
birthday,誕生日
train,電車、列車
many,多くの、たくさんの
three,3、3人、3つ、3匹
book,本
sport,スポーツ
her,彼女の、彼女を、彼女に
hers,彼女のもの
rice,米、ごはん
Japanese,日本語、日本人、日本の、国語
or,AまたはB
be,be動詞の原形、〜である
quiet,静かな、おとなしい
where,どこで、どこに、どこへ
eight,8、8人、8つ、8匹
forty,40、40人、40匹
how,どのようにして、どれくらい
rainy,雨の、雨降りの
weather,天気、天候
December,12月
one,1、1人、1つ、1匹
food,食べ物
bag,バッグ、かばん
whose,誰の
mine,私のもの
pen,ペン
juice,ジュース
reading,読書、読むこと
please,どうぞ、どうか、ぜひ
close,閉じる、閉める、閉まる
kind,優しい、親切な、種類
six,6、6人、6つ、6匹
twenty,20、20人、20匹
Canada,カナダ
sunny,晴れている、日当たりのよい
fine,元気な、晴れた
Christmas,クリスマス
by,〜によって、〜のそばに
two,2、2人、2つ、2匹
egg,卵
subject,教科、話題、テーマ
his,彼の、彼のもの
yours,あなたのもの、あなたたちのもの
which,どちらの、どれ
beer,ビール
history,歴史
open,開いた、開く、あける
write,〜を書く
careful,注意深い、慎重な
door,ドア、扉
name,名前、名前をつける
stand,立っている、立ち上がる
sorry,気の毒に思う、申し訳なく思う
Tuesday,火曜日
Friday,金曜日
today,今日(は)、今日では
under,〜の(真)下に、〜のもとに
people,人々、国民
boy,男の子、少年
all,すべての、全部の
river,川
Wednesday,水曜日
Saturday,土曜日
soup,スープ
notebook,ノート、メモ帳
homework,宿題
let's,〜しましょう(let usの短縮形)
right,正しい、右の、権利
Monday,月曜日
Thursday,木曜日
Sunday,日曜日
pencil,鉛筆
What time is it (now)?,(今)何時ですか。
How is the weather?,天気はどうですか。
do one's homework,宿題をする
be kind to 〜,〜に親切に(優しく)する
stand up,立ち上がる
be late for 〜,〜に遅れる、遅刻する
