probably,十中八九、たぶん
author,著者、作家
art school,美術学校
Eric Carle,エリック・カール〔人名〕
New York,ニューヨーク〔州名、都市名〕
The New York Times,「ニューヨークタイムズ」〔新聞名〕
believe,～だと思う、信じる
printer,印刷工、印刷業者
think outside the box,自由で独創的な考え方をする
come up with ~,～を思いつく
count,数える
Germany,ドイツ
graphic designer,グラフィックデザイナー
publish,～を出版する、発行する
unusual,ふつうでない
come out of ~,～から出てくる
bestseller,ベストセラー
toy,おもちゃ
cow,ウシ
reader,読者
represent,～を象徴する、表現する
paint,～にペンキを塗る、色を塗る
play with ~,～で遊ぶ
imagination,想像力
studio,アトリエ
fill,～を満たす
although,～だけれども、～にもかかわらず
spirit,精神、心、霊魂、幽霊
wing,羽
Barbara,バーバラ〔名〕
the Eric Carle Museum of Picture Book Art,エリック・カール絵本美術館
Massachusetts,マサチューセッツ州〔州名〕
pass away,亡くなる
worldwide,世界中に、世界的に
feature,特色、特徴
deliver,～を届ける
colorfulness,色の鮮やかさ
colorless,無色の
inspire,～を奮い立たせる
until,～まで、～までは
gallery,美術館
theater,劇場
visitor,訪問客、見学者
anymore,今ではもう
unfold,～を広げる、開く
fill ~ with …,～を…で満たす
not only ~ but also …,～だけでなく…もまた
