remember,思い出す・覚えている
judge,判断する
communicate,コミュニケーションをとる
recycle,再利用する
hurry,急ぐ
smoke,タバコを吸う
marry,結婚する
drop,落ちる・落とす
cry,泣く・叫ぶ
touch,触れる
visit,訪れる
solve,解決する・解く
join,参加する
believe,信じる
repeat,繰り返す
explain,説明する
destroy,破壊する
prepare,準備する
carry,運ぶ
thank,感謝する
spend,過ごす
pay,支払う
appear,現れる
disappear,消える
attend,出席する
check,確認する
catch,つかまえる
release,解放する
reach,届く・着く
jump,ジャンプする・跳ぶ
collect,集める
cover,覆う
bake,焼く
enter,入る
grow,育てる
wish,望む・願う
boil,ゆでる・沸かす
lock,カギをかける
forget,忘れる
push,押す
hit,打つ
continue,続ける
decide,決める
understand,理解する
win,勝ちとる
kill,殺す
support,支える
mean,意味する
happen,起こる
put,置く
build,建てる
knock,ノックする
notice,気づく
worry,心配する
miss,〜しそこなう・〜がいなくてさびしく思う
waste,無駄にする
brush,磨く
discover,発見する
ride,乗る
wear,着ている
wake,目を覚ます
introduce,紹介する・導入する
choose,選ぶ
lift,持ち上げる
cheer,励ます
answer,答える
hope,望む・願う（希望する）
sell,売る
welcome,歓迎する
act,行う
save,救う・蓄える
borrow,借りる
ring,（ベルや電話などが）鳴る
pull,引く
pick,つまむ
climb,登る
invite,招待する
lead,導く
wonder,不思議に思う
lose,失う
receive,受けとる
fail,失敗する
expect,予期する
exchange,交換する
hold,持つ・開催する
throw,投げる
surf,インターネットを見て回る
shut,閉じる
rise,昇る・上がる
raise,上げる・育てる
resource,資源
reuse,再利用する（re+use）
eco-friendly,環境に優しい
recyclable,再利用可能な
separate,分ける（分別する）
degree,程度・度
reduce,減らす
trash,ごみ（ごみ箱のごみ）
garbage,ごみ（家庭から出るごみ）
dust,ちり
fact,事実
luck,運
college,大学（単科大学）
university,大学（総合大学）
idea,考え
job,仕事
hobby,趣味
company,会社・仲間
art,芸術
museum,博物館・美術館
picture,写真・絵
culture,文化
country,国・いなか
airport,空港
tower,タワー・塔
cafeteria,食堂
pool,プール
stadium,競技場
beach,砂浜・浜辺
weather,天気・天候
cloud,雲
north,北
east,東
south,南
west,西
trip,旅行・移動
way,道・方法
place,場所・置く
breakfast,朝食
lunch,昼食
dinner,夕食
chorus,合唱
price,値段・価格
information,情報
dish,皿・料理
sea,海
backpack,リュックサック
lady,婦人
bridge,橋
power,力
tour,ツアー・旅行
holiday,休日
police,警察
suit,スーツ
suitcase,スーツケース
lake,湖
side,側・横
part,部分
earth,地球
moon,月
sun,太陽
forest,森
farm,農場
dollar,ドル
yen,（通貨の）円
language,言語
life,人生・生活・生命・生物
size,サイズ・大きさ
problem,問題
question,質問
example,例
magazine,雑誌
title,タイトル・題名
album,アルバム
photograph,写真
umbrella,傘
stamp,切手
pair,1組・ペア
year,年
day,日
top,頂上
pond,池
bank,銀行
vacation,休暇
air,空気・大気
chance,機会・チャンス
grade,学年
word,単語・言葉
plant,植物
hour,時間（1時間）
minute,分
rocket,ロケット
kind,種類・親切な
toy,おもちゃ
river,川
stone,石
thing,こと・もの
stage,ステージ・段階
shower,にわか雨
mistake,間違い
glacier,氷河
solar,太陽の
tropical,熱帯の
island,島
continent,大陸
replace,取りかえる
effect,結果・効果・影響
shortage,不足
Celsius,摂氏
Fahrenheit,華氏
