here,ここに、ここで、こちらへ
about,~について(の)
this,これ
rice ball,おにぎり
year,~歳、~年
live,住む、住んでいる
fall,秋
firework,〔ふつう~sで〕花火
Here we go!,さあ、行こう[始めよう]。
~ year(s) old,~歳
lost,道に迷った
student,生徒、学生
meet,(~に)会う、(~と)知り合う
am,~である、~だ
Call me ~.,私を~と呼んでください。
I'm,I am の短縮形
Ms.,〔女性の姓・姓名の前で〕~さん、~先生
South Africa,南アフリカ
from,~出身(の)、~から(の)
I'm from ~.,私は~出身です。
all,全て、みんな
hello,やあ、こんにちは
old,(年齢が)~歳の
season,季節
thing,もの、こと
trumpet,トランペット
a,ある、1つ[人・匹など]の
there,そこで、そこに
call,~を(…と)呼ぶ
Thanks.,ありがとう。
Japan,日本
Nice to meet you.,初めまして。よろしく。
I'm ~ years old.,私は~歳です。
look,見る
why,なぜ、どうして
not,~(で)ない、~(し)ない
achoo,ハクション
don't,do not の短縮形
very,とても、〔否定文で〕あまり
winter,冬
How about ~?,~はどうですか。
not ~ very much,そんなに~ない
beautiful,美しい
much,非常に、とても
Look!,見てください。
Why?,どうして(ですか)。
class,授業、授業時間
New York,ニューヨーク(市[州])
swim,泳ぐ、水泳をする
but,しかし、けれども
cannot,can の否定形
flute,フルート
sax,サックス、サクソフォン
drum,ドラム、太鼓
cool,かっこいい、すごい
can't,cannot の短縮形
rugby,ラグビー
Cool!,すごいね。
