danger,危険、危険性
challenge,難問
endangered,絶滅の危機にさらされている
trouble,困難、面倒、迷惑
extinction,絶滅
human,人間の、人間的な
survive,生き残る
be in danger of ~,～の危険がある
because of ~,～のために
care about ~,～を気にかける
cheetah,チーター
article,記事
Red List,レッドリスト
hear of ~,～について聞く
sea otter,ラッコ
IUCN,国際自然保護連合
and so on,～など
Why don't we ~?,～しませんか。
population,人口、個体数
beginning,最初の部分
shock,～に衝撃をあたえる
overhunting,乱獲
spill,こぼれ、流出
killer whale,シャチ
the Northern Pacific Ocean,北太平洋
as a result of,～の結果として
rapidly,速く、急速に
century,世紀、100年
safely,安全に
oil,油、石油
hunting,狩り、さがし求めること
thanks to ~,～のおかげで
due to ~,～のために、～が原因で
native,固有の、原産の、生粋の
traffic accident,交通事故
categorize,～を分類する、類別する
citizen,市民
human being,人間
action,アクション、行動
logging,伐採
research,研究、調査
critically,危機的に、危うく
ecosystem,生態系
relate,～を関係させる
part of ~,～の一部
