was,am・isの過去形
were,areの過去形
hungry,おなかのすいた、空腹の
nervous,不安で、緊張して
crowded,込み合った、混雑した
contest,コンテスト、競技
classmate,同級生、クラスメイト
vacation,休み、休暇
during,〜の間じゅう、〜の間に
happy,幸せな、うれしい
excited,わくわくした
interested,興味を持っている
bored,うんざりした、退屈した
hot,暑い、熱い
meeting,会議
young,若い、幼い、年下の
exciting,わくわくさせる、刺激的な
angry,怒った、腹を立てた
actor,(女性を含む)俳優
classroom,教室
desk,机
chair,いす
window,窓
wall,壁
candy,キャンディー
sheep,羊
street,通り、街路、街
campground,キャンプ地(場)
near,〜の近くに
Australia,オーストラリア
any,何か、(否定文で)何も〜ない
book,本
cat,ネコ(猫)
animal,動物
flower,花、草花
about,〜について、およそ、約
cafe,カフェ、喫茶店
traditional,伝統的な
star,星、主役
sky,空
lion,ライオン
member,一員、会員、メンバー
castle,城
along,〜に沿って、〜沿いの
zoo,動物園
hall,ホール、会館、玄関
temple,寺
pet,ペット
garden,庭
a.m.,午前
p.m.,午後
be interested in 〜,〜に興味がある
How is (are) 〜?,〜はどうですか
on the street,路上で、通りで
