text,~にテキストメッセージを送る
effort,努力、労力
take a lesson,授業を受ける、教わる
work hard,懸命に働く[勉強する]
respect,~を尊敬する
help,(~を)助ける、(~を)手伝う
get tired,疲れる
take,(授業・試験など)を受ける
No.,~番〔number の略〕
excuse,~を許す
bus,バス
o'clock,~時
welcome,(人が)歓迎される
bye,ではまた、じゃあね
Excuse me.,〔見知らぬ人に話しかけるときに〕すみません。
What time ~?,何時に~ですか。
Let me see.,ええっと。
You're welcome.,どういたしまして。
Have a nice trip!,よい旅を。〔旅立つ人への挨拶〕
take,(乗り物)に乗って行く
number,番号、~番
tourist,観光客
let,~させる
so,それで、だから
trip,旅行
museum,博物館
straight,まっすぐに、一直線に
street,通り
left,左
on foot,徒歩で
How ~?,どのように~ですか。
How long does it take ~? — It takes ....,~にどのくらいの時間がかかりますか。— …かかります。
foot,足〔くるぶし以下の部分〕
along,~に沿って、~を通って
corner,(道の)曲がり角
long,(時間・物・距離が)長い
get to ~,~に着く
take,(時間・労力など)がかかる
right,右へ[に]
special,特別な[の]
today,今日(は)
appear,現れる、(~に)出る
fashion,ファッション
confident,自信がある、自信に満ちた
studio,スタジオ
guest,招待客、ゲスト
comedian,お笑い芸人
as,~として
model,モデル
talk,話す、しゃべる
