already,すでに、もう
yet,もう、まだ、今のところは
designer,デザイナー、設計者
message,伝言、メッセージ
essay,随筆、評論、エッセー、作文
ethical,道徳にかなった、道徳的な
interview,～にインタビューする、面談
sleep,眠る、寝ている
Sounds great.,よさそうですね。
accessory,付属品、アクセサリー
eco-friendly,環境にやさしい
impact,影響、衝撃、衝突
introduce,～を導入する
SDGs,持続可能な開発目標
How long ~?,どれくらい長く
recycle,～を再生利用する、リサイクルする
become,become の過去分詞
since,～して以来
Olivia,オリビア〔名〕
be made of ~,～で作られている
become concerned about ~,～について心配する
~ amounts of …,…の量の～
you've,you have の短縮形
morally,道徳上、倫理的に、品行方正に
company,会社
lead,～に通じる
negative,否定的な、よくない
include,～を含む、含める
leather,革、なめし革、革製品
wool,羊毛、毛糸、毛織物、ウール
clothing,衣類、衣料品
chemical,化学物質
less,もっと少ない
animal-free,動物性原料を含んでいない
vegan,菜食主義者〔ビーガン〕
avoid,～を避ける、よける
fur,毛皮、毛皮製品
moreover,なおそのうえに、さらに
developing,発展途上の
wage,賃金、給料
fair,公平な、相当の
labor,労働
worker,働く人、労働者
condition,状況、状態
working,働く
prohibit,～を禁止する
responsible,責任がある
what to ~,何を～すべきか
