market,市場
line,(鉄道の)線路、路線
change,(乗り物を)乗り換える
follow,~の後について行く[来る]
May I ~?,~してもよろしいですか。
Could you tell me the way to ~?,~への行き方を教えていただけますか。
get off,(列車・バスなどから)降りる
change to ~,~に乗り換える
how to ~,~する方法
tower,塔、タワー
subway,地下鉄
ticket,切符、チケット
matter,事柄、問題、事件
mm,うむ、ええと
should,~したほうがよい、~して当然である
dizzy,目まいがする
doctor,医者、医師
What's the matter?,どうしましたか。
Are you OK?,大丈夫ですか。
take a rest,ひと休みする
Can I ~?,~しましょうか。
take ~ to ...,~を…へ連れて行く
pale,青白い、青ざめた
headache,頭痛
sick,病気の
stomachache,胃痛、腹痛
lie,横になる、横たわる
close,~を閉める
hunting,探求、捜索
the weather information,天気の情報
